tank,diet,latitude,longitude,start_density,start_biomass,start_count,start_ABW,start_ABL,mortality_p,length_mm,width_mm,area_mm2,weight_g,condition
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,70.23,53.59,294.55,44.56,0.75
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,59.19,46.83,216.84,26.43,0.74
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,67.52,65.49,355.66,39.50,0.75
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,76.46,57.13,341.70,57.76,0.75
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,85.80,57.54,379.80,82.10,0.76
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,55.14,53.53,237.97,21.28,0.74
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,66.94,59.15,305.78,38.47,0.75
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,65.49,57.04,293.95,35.99,0.74
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,69.28,47.95,269.42,42.73,0.75
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,53.41,45.31,193.95,19.31,0.74
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,59.37,52.81,258.38,26.67,0.74
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,60.83,56.43,273.75,28.74,0.74
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,62.82,57.08,282.40,31.70,0.74
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,104.42,57.16,483.74,149.56,0.77
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,74.50,50.00,288.17,53.35,0.75
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,67.41,48.89,257.62,39.31,0.75
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,61.12,48.59,239.22,29.14,0.74
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,65.98,61.83,317.62,36.81,0.75
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,100.57,60.86,451.83,133.36,0.77
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,63.14,56.13,282.66,32.19,0.74
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,61.44,55.12,267.56,29.61,0.74
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,62.08,57.19,279.51,30.57,0.74
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,76.25,64.78,387.55,57.26,0.75
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,66.35,60.56,318.26,37.46,0.75
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,73.92,55.63,324.22,52.09,0.75
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,83.32,59.89,395.33,75.06,0.76
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,73.34,59.15,347.97,50.85,0.75
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,69.74,57.77,324.90,43.61,0.75
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,61.24,49.80,237.17,29.32,0.74
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,74.05,64.03,363.67,52.37,0.75
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,65.99,49.55,271.25,36.84,0.75
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,76.83,59.15,363.84,58.61,0.75
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,66.10,45.12,232.23,37.02,0.75
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,61.54,59.95,285.04,29.77,0.74
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,73.04,50.29,288.07,50.22,0.75
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,68.68,61.97,331.56,41.62,0.75
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,73.54,57.80,345.02,51.28,0.75
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,62.28,50.00,247.50,30.87,0.74
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,58.20,47.88,219.38,25.11,0.74
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,95.63,52.39,396.19,114.35,0.76
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,63.44,52.11,262.15,32.67,0.74
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,69.39,62.30,337.09,42.94,0.75
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,76.83,62.67,376.71,58.61,0.75
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,70.43,61.97,340.92,44.93,0.75
